Geld,für
Wasser,water
Gespräch,conversation
Gesicht,Gesichtsausdruck;
Bargeld,cash
Abkommen,agreement
Blutvergießen,bloodshed
Gebiet,area
Ersuchen,request
Geschehnis,event;
Fahrzeug,vehicle
Schiff,ship
Bedürfnis,need
Niveau,level
Völkerrecht,international
Lob,praise
Unrecht,wrong
Schweigen,silence
Lager,camp
Unbehagen,discontent
Erzeugnis,product
Wohl,welfare
Erdgas,natural
Jahrzehnt,decade
Ungleichgewicht,imbalance
Handeln,action
Gleichgewicht,balance
Bußgeld,fine
Eingeständnis,admission
Guthaben,credit
Vorkommen,deposit
Zeichen,sign
Schicksal,fate
Urteil,verdict
Dutzend,dozen
Schild,sign
Verhalten,behavior
Beisein,presence
Verdienst,merit
Aufsehen,sensation
Delikt,crime
Schwarzgeld,illegal
Bewusstsein,awareness
Strafmaß,sentence
Vorgehen,action
Feld,field
Gemüt,mind
Gerücht,rumor
Achtel,eighth
Denkmal,monument
Todesopfer,casualty
Erkenntnis,sonst
Festland,eher
Misstrauen,distrust
Kraftwerk,power
Anzeichen,sign
Rohöl,crude
Votum,vote;
Kaninchen,rabbit
Weltall,universe;
Entgegenkommen,willingness
Zögern,hesitation
Recht,law
Telefonat,phone
Bündnis,alliance
Licht,Beleuchtung]
Ereignis,event
Bankguthaben,bank
Flugblatt,leaflet
Aufgebot,contingent
Anwesen,estate
Becken,pool
Netzwerk,network
Vermögen,Reichtum])
Grundstück,plot
Geflecht,network
Zeitalter,age
Ausmaß,extent
Ding,thing
Geschlecht,gender
Gedenken,commemoration
Rathaus,town
Rennen,race
Gefecht,battle
Trostpflaster,consolation
Geschütz,gun
Umfeld,sphere
Erdbeben,earthquake
Nachbeben,aftershock
Gelände,site
Loch,hole
Fragezeichen,question
Angebot,supply
Wachstum,growth
Leihen,borrowing;
Geldhaus,financial
Vorbild,example
Anliegen,wish
Bein,leg
Gremium,board
Vertrauen,trust
Gelingen,success
Museum,museum
Lied,song
Stück,piece
Revier,district
Grundgesetz,constitution
Messer,knife
Muster,pattern
Jahr,year
Zelt,tent
Vorhandensein,presence;
Verschwinden,disappearance
Ultimatum,ultimatum
Schreiben,Brief]
Szenario,scenario
Büro,office
Maschinengewehr,machine-gun
Tor,gate
Treffen,meeting
Gewehr,gun
Haus,house
Leck,leak
Altenheim,retirement
Motorrad,motorcycle
Mitgefühl,compassion;
Attentat,(attempted)
Nähere,particulars
Blatt,sheet
Scheitern,failure
Beileid,condolence
Fass,barrel
Verständnis,understanding
Unterfangen,undertaking
Kapitel,chapter
Zeugnis,certificate
Mindestalter,minimum
Abhören,eavesdropping
Osterfest,Easter
Ausland,foreign
Gebet,prayer
Ei,egg
Wohlergehen,prosperity;
Geschäft,business
Kloster,monastery
Leiden,suffering
Zugeständnis,concession
Gepäck,luggage
Heilmittel,cure
Viertel,neighbourhood
Einlenken,relenting
Abzeichen,emblem;
Versprechen,promise
Tun,action;
Missverständnis,misunderstanding
Boot,boat
Aufkommen,occurrence;
Geschwister,sibling
Mittelalter,Middle
Gefängnis,prison
Werk,factory
Prinzip,principle
Weinen,crying
Siegel,seal
Übel,evil
Eingreifen,intervention
Ziel,goal
Schmiergeld,bribe
Ergebnis,result
Team,team
Gebot,bid
Aus,end
Labor,lab
Tier,animal
Laufen,running
Bruttoinlandsprodukt,gross
Unglück,disaster
Eichhörnchen,squirrel
Gedicht,poem
Obst,fruit
Geständnis,confession
Opfer,victim
Vorhaben,plan
Andenken,Gedenken]
Amt,office
Amtsenthebungsverfahren,impeachment;
Gefühl,feeling
Flugzeug,aircraft
Heer,army
Verfahren,procedure
Fernsehen,TV
Eigenheim,home
Kleid,dress
Verhältnis,proportion
Gedicht,poem
Gedicht,upgraded
